Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uf","C_0805_2012Metric",109.728000,-69.024500,0.000000,top
"C2","1uf","C_0805_2012Metric",115.062000,-72.199500,0.000000,top
"C3","4.7uf","C_0805_2012Metric",185.521600,-82.804000,90.000000,top
"C4","4.7uf","C_0805_2012Metric",183.184800,-96.672400,270.000000,top
"C5","10uf","C_0805_2012Metric",165.100000,-64.135000,270.000000,top
"C6","0.1uf","C_0805_2012Metric",156.210000,-68.326000,270.000000,top
"C7","0.1uf","C_0805_2012Metric",149.098000,-55.626000,270.000000,top
"C8","1nF","C_0805_2012Metric",117.348000,-55.372000,0.000000,top
"D5","MBR120","D_SOD-123F",125.222000,-73.977500,0.000000,top
"J1","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",195.516500,-78.295500,90.000000,top
"J12","10137062-00021LF","CONN_10137062-00021LF",150.460000,-129.520000,0.000000,top
"Q1","BSS84","SOT-23",110.236000,-79.819500,180.000000,top
"R1","1k ohm","R_0805_2012Metric",135.255000,-116.840000,270.000000,top
"R2","1k ohm","R_0805_2012Metric",145.415000,-116.840000,270.000000,top
"R3","1k ohm","R_0805_2012Metric",155.448000,-116.819000,270.000000,top
"R4","470 ohm","R_0805_2012Metric",165.735000,-116.840000,270.000000,top
"R5","100k","R_0805_2012Metric",125.222000,-78.994000,0.000000,top
"R6","10k","R_0805_2012Metric",181.610000,-56.134000,0.000000,top
"R7","5.1K","R_0805_2012Metric",159.410400,-129.133600,60.000000,top
"R8","5.1K","R_0805_2012Metric",141.579600,-129.133600,300.000000,top
"R9","2k","R_0805_2012Metric",181.152800,-77.419200,270.000000,top
"R10","100 ohm","R_0805_2012Metric",159.385000,-55.880000,90.000000,top
"R11","806k ohm","R_0805_2012Metric",115.316000,-60.198000,180.000000,top
"R12","2M","R_0805_2012Metric",117.348000,-65.278000,180.000000,top
"SW1","SW_Push","SW_PTS526_SM08_SMTR2_LFS",181.546500,-62.992000,0.000000,top
"U1","BMD-300","BMD-300",131.445000,-55.245000,0.000000,top
"U2","MIC5504-3.3YM5","SOT-23-5",110.515400,-73.101200,0.000000,top
"U3","MCP73831T-2ACI_OT","SOT95P280X145-5N",182.219600,-87.934800,90.000000,top
"U4","CP2104","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",159.385000,-62.230000,0.000000,top
"Y1","SIT1533AI-H4-DCC-32.768E","SIT1533AIH4DCC32768E",128.016000,-53.594000,0.000000,top
